American Express,8374,americanexpress.com,214,0,0,American Express
American Express,8374,americanexpress.com,214,0,0,American Express
American Express Travel,10951038,travel.americanexpress.com,214,0,,American Express
American Express,8374,americanexpress.com,214,0,0,American Express
American Express Travel,10951038,travel.americanexpress.com,214,0,,American Express
American Express Travel,10951038,travel.americanexpress.com,214,0,,American Express
American Express,11036578,plenti.com,9586,0,-161,American Express
American Express,11036578,plenti.com,9586,0,-161,American Express
American Express,11036578,plenti.com,9586,0,-161,American Express
American Express Network,11062113,amexnetwork.com,120629,0,-322,American Express
American Express Network,11062113,amexnetwork.com,120629,0,-322,American Express
American Express Network,11062113,amexnetwork.com,120629,0,-322,American Express
Cruise Planners - American Express Travel,173927,cruiseplanners.com,1089348,0,-63,American Express
Cruise Planners - American Express Travel,173927,cruiseplanners.com,1089348,0,-63,American Express
Cruise Planners - American Express Travel,173927,cruiseplanners.com,1089348,0,-63,American Express
American Flags Express Inc.,10747599,flagsexpress.com,1152856,0,18,American Express
American Flags Express Inc.,10747599,flagsexpress.com,1152856,0,18,American Express
American Flags Express Inc.,10747599,flagsexpress.com,1152856,0,18,American Express
cook travel american express,10707191,cooktravel.net,1427010,0,7,American Express
cook travel american express,10707191,cooktravel.net,1427010,0,7,American Express
cook travel american express,10707191,cooktravel.net,1427010,0,7,American Express
AMERICAN EXPRESS BARCELO VIAJES,10753714,amexbarcelo.com,2631396,0,23,American Express
AMERICAN EXPRESS BARCELO VIAJES,10753714,amexbarcelo.com,2631396,0,23,American Express
AMERICAN EXPRESS BARCELO VIAJES,10753714,amexbarcelo.com,2631396,0,23,American Express
American West WorldWide Express,10291238,awest.com,4130381,0,-47,American Express
American West WorldWide Express,10291238,awest.com,4130381,0,-47,American Express
American West WorldWide Express,10291238,awest.com,4130381,0,-47,American Express
All Seasons Travel/American Express,10542495,allseasonstravel.com,7449077,0,31,American Express
All Seasons Travel/American Express,10542495,allseasonstravel.com,7449077,0,31,American Express
All Seasons Travel/American Express,10542495,allseasonstravel.com,7449077,0,31,American Express
Voyages Lennoxville American Express,10435328,voyageslennoxville.com,13961414,0,5,American Express
Voyages Lennoxville American Express,10435328,voyageslennoxville.com,13961414,0,5,American Express
Voyages Lennoxville American Express,10435328,voyageslennoxville.com,13961414,0,5,American Express
"Jim's Travel Link, Inc. an American Express Representative",10199103,jimstravel.com,16314264,0,10,American Express
"Jim's Travel Link, Inc. an American Express Representative",10199103,jimstravel.com,16314264,0,10,American Express
"Jim's Travel Link, Inc. an American Express Representative",10199103,jimstravel.com,16314264,0,10,American Express
American Home Care Express,10476048,ahce.us,18650453,0,11,American Express
American Home Care Express,10476048,ahce.us,18650453,0,11,American Express
American Home Care Express,10476048,ahce.us,18650453,0,11,American Express
American Express Community Stadium,10475473,azure.uk.com,100000000000000,0,,American Express
Total Cruise & Travel Experts - An American Express/Cruise Planners Travel Services Agency,10486007,totaltravelexperts.com,100000000000000,0,0,American Express
American Express Community Stadium,10475473,azure.uk.com,100000000000000,0,,American Express
Obriy American Express,10397758,obriy.ua,100000000000000,0,7,American Express
American Express Cruise Planner and Full Service TravelSpecialist,10726000,seasationalcruises.com,100000000000000,0,,American Express
Caminos Turismo y Viajes - American Express Travel Service,10613028,caminosturismo.com.ar,100000000000000,0,0,American Express
American Express Co (Mexico),10836411,mxpromo.com,100000000000000,0,,American Express
Jacaranda Travel/American Express,10222611,jacarandatravel.com,100000000000000,0,4,American Express
Cruise Planners/American Express,10843267,bunnyscruisesandvacations.com,100000000000000,0,-6,American Express
Voyages VP&A American Express,10967356,voyagesvpa.com,100000000000000,0,,American Express
Always Travel Inc/ American Express Travel Services,10240042,alwaystravel.ca,100000000000000,0,,American Express
American Express Ventures,18628,"",100000000000000,0,0,American Express
Jacaranda Travel/American Express,10222611,jacarandatravel.com,100000000000000,0,4,American Express
